tag_name;writable(0/1);StateHighTriger(0/1);StateLowTrigger(0/1);Alarm(0/1);AlarmMask;StateMask;DataTypeConv
02F0525;1;1;0;0;0;1;;
K101_CONTROL;1;1;0;0;0;1;;
K101_CONTROL2;1;1;0;0;0;1;;
02F0528;1;1;0;0;0;1;;
02F0529;1;1;0;0;0;1;;
02F0493;1;0;1;0;0;1;;
03F0525;1;1;0;0;0;1;;
K209_CONTROL;1;1;0;0;0;1;;
K209_CONTROL2;1;1;0;0;0;1;;
03F0528;1;1;0;0;0;1;;
03F0529;1;1;0;0;0;1;;
03F0493;1;0;1;0;0;1;;
04F0525;1;1;0;0;0;1;;
K1266_CONTROL;1;1;0;0;0;1;;
K1266_CONTROL2;1;1;0;0;0;1;;
04F0528;1;1;0;0;0;1;;
04F0529;1;1;0;0;0;1;;
04F0493;1;0;1;0;0;1;;
05F0525;1;1;0;0;0;1;;
K231_CONTROL;1;1;0;0;0;1;;
K231_CONTROL2;1;1;0;0;0;1;;
05F0528;1;1;0;0;0;1;;
05F0529;1;1;0;0;0;1;;
05F0493;1;0;1;0;0;1;;
06F0525;1;1;0;0;0;1;;
K736_CONTROL;1;1;0;0;0;1;;
K736_CONTROL2;1;1;0;0;0;1;;
06F0528;1;1;0;0;0;1;;
06F0529;1;1;0;0;0;1;;
06F0493;1;0;1;0;0;1;;
07F0525;1;1;0;0;0;1;;
K751_CONTROL;1;1;0;0;0;1;;
K751_CONTROL2;1;1;0;0;0;1;;
07F0528;1;1;0;0;0;1;;
07F0529;1;1;0;0;0;1;;
07F0493;1;0;1;0;0;1;;
09F0525;1;1;0;0;0;1;;
K510_CONTROL;1;1;0;0;0;1;;
K510_CONTROL2;1;1;0;0;0;1;;
09F0528;1;1;0;0;0;1;;
09F0529;1;1;0;0;0;1;;
09F0493;1;0;1;0;0;1;;
08F0525;1;1;0;0;0;1;;
K762_CONTROL;1;1;0;0;0;1;;
K762_CONTROL2;1;1;0;0;0;1;;
08F0528;1;1;0;0;0;1;;
08F0529;1;1;0;0;0;1;;
08F0493;1;0;1;0;0;1;;
0AF0525;1;1;0;0;0;1;;
K617_CONTROL;1;1;0;0;0;1;;
K617_CONTROL2;1;1;0;0;0;1;;
0AF0528;1;1;0;0;0;1;;
0AF0529;1;1;0;0;0;1;;
0AF0493;1;0;1;0;0;1;;
0BF0525;1;1;0;0;0;1;;
K637_CONTROL;1;1;0;0;0;1;;
K637_CONTROL2;1;1;0;0;0;1;;
0BF0528;1;1;0;0;0;1;;
0BF0529;1;1;0;0;0;1;;
0BF0493;1;0;1;0;0;1;;
0CF0525;1;1;0;0;0;1;;
K110_CONTROL;1;1;0;0;0;1;;
K110_CONTROL2;1;1;0;0;0;1;;
0CF0528;1;1;0;0;0;1;;
0CF0529;1;1;0;0;0;1;;
0CF0493;1;0;1;0;0;1;;
0DF0525;1;1;0;0;0;1;;
K104A_CONTROL;1;1;0;0;0;1;;
K104A_CONTROL2;1;1;0;0;0;1;;
0DF0528;1;1;0;0;0;1;;
0DF0529;1;1;0;0;0;1;;
0DF0493;1;0;1;0;0;1;;
0EF0525;1;1;0;0;0;1;;
K104_30_CONTROL;1;1;0;0;0;1;;
K104_30_CONTROL2;1;1;0;0;0;1;;
0EF0528;1;1;0;0;0;1;;
0EF0529;1;1;0;0;0;1;;
0EF0493;1;0;1;0;0;1;;
0FF0525;1;1;0;0;0;1;;
K164_CONTROL;1;1;0;0;0;1;;
K164_CONTROL2;1;1;0;0;0;1;;
0FF0528;1;1;0;0;0;1;;
0FF0529;1;1;0;0;0;1;;
0FF0493;1;0;1;0;0;1;;
10F0525;1;1;0;0;0;1;;
K175_CONTROL;1;1;0;0;0;1;;
K175_CONTROL2;1;1;0;0;0;1;;
10F0528;1;1;0;0;0;1;;
10F0529;1;1;0;0;0;1;;
10F0493;1;0;1;0;0;1;;
11F0525;1;1;0;0;0;1;;
K199_CONTROL;1;1;0;0;0;1;;
K199_CONTROL2;1;1;0;0;0;1;;
11F0528;1;1;0;0;0;1;;
11F0529;1;1;0;0;0;1;;
11F0493;1;0;1;0;0;1;;
12F0525;1;1;0;0;0;1;;
K1014_1_CONTROL;1;1;0;0;0;1;;
K1014_1_CONTROL2;1;1;0;0;0;1;;
12F0528;1;1;0;0;0;1;;
12F0529;1;1;0;0;0;1;;
12F0493;1;0;1;0;0;1;;
13F0525;1;1;0;0;0;1;;
K22_CONTROL;1;1;0;0;0;1;;
K22_CONTROL2;1;1;0;0;0;1;;
13F0528;1;1;0;0;0;1;;
13F0529;1;1;0;0;0;1;;
13F0493;1;0;1;0;0;1;;
14F0525;1;1;0;0;0;1;;
K1023_CONTROL;1;1;0;0;0;1;;
K1023_CONTROL2;1;1;0;0;0;1;;
14F0528;1;1;0;0;0;1;;
14F0529;1;1;0;0;0;1;;
14F0493;1;0;1;0;0;1;;
EC3_SR_P_PARA;1;0;0;0;0;0;8;
EC2_SR_P_PARA;1;0;0;0;0;0;8;
EC4_SR_P_PARA;1;0;0;0;0;0;8;
EC3_SR_P_PARA;1;0;0;0;0;0;8;
WS_PDYSP;1;0;0;0;0;0;8;
CDC_F721;1;0;0;0;0;0;8;
CDC_Q721;1;0;0;0;0;0;8;
CDC_T722;1;0;0;0;0;0;8;
CDC_P723;1;0;0;0;0;0;8;
CDC_F724;1;0;0;0;0;0;8;
CDC_Q724;1;0;0;0;0;0;8;
CDC_T725;1;0;0;0;0;0;8;
CDC_P726;1;0;0;0;0;0;8;
CDC_F727;1;0;0;0;0;0;8;
CDC_Q727;1;0;0;0;0;0;8;
CDC_T728;1;0;0;0;0;0;8;
CDC_P729;1;0;0;0;0;0;8;
CDC_F730;1;0;0;0;0;0;8;
CDC_Q730;1;0;0;0;0;0;8;
CDC_T731;1;0;0;0;0;0;8;
CDC_P732;1;0;0;0;0;0;8;
CDCEC2/10/add416;1;0;0;0;0;0;8;
CDCEC2/10/add417;1;0;0;0;0;0;8;
P345;1;0;0;0;0;0;8;
CDC_F754;1;0;0;0;0;0;8;
CDC_T755;1;0;0;0;0;0;8;
CDC_P756;1;0;0;0;0;0;8;
CDC_F757;1;0;0;0;0;0;8;
CDC_T758;1;0;0;0;0;0;8;
CDC_UM;1;0;0;0;0;0;8;
CDC_UD;1;0;0;0;0;0;8;
CDC_F763;1;0;0;0;0;0;8;
CDC_T764;1;0;0;0;0;0;8;
CDC_P765;1;0;0;0;0;0;8;
CDC_F770;1;0;0;0;0;0;8;
CDC_Q773;1;0;0;0;0;0;8;
CDC_T774;1;0;0;0;0;0;8;
CDC_P775;1;0;0;0;0;0;8;
CDC_T776;1;0;0;0;0;0;8;
CDC_P777;1;0;0;0;0;0;8;
CDC_F778;1;0;0;0;0;0;8;
CDC_Q781;1;0;0;0;0;0;8;
CDC_T782;1;0;0;0;0;0;8;
CDC_P783;1;0;0;0;0;0;8;
CDC_T784;1;0;0;0;0;0;8;
CDC_P785;1;0;0;0;0;0;8;
E3B197BO;1;0;0;0;0;0;8;
E3B203BO;1;0;0;0;0;0;8;
E3B08TNN;1;0;0;0;0;0;8;
E3B09PBO;1;0;0;0;0;0;8;
E3B10FNN;1;0;0;0;0;0;8;
E3B11TNN;1;0;0;0;0;0;8;
E3B12PBO;1;0;0;0;0;0;8;
E3B13FNN;1;0;0;0;0;0;8;
CDCEC3/10/add3014;1;0;0;0;0;0;8;
CDCEC3/10/add3015;1;0;0;0;0;0;8;
E3B16P05;1;0;0;0;0;0;8;
E3B17T05;1;0;0;0;0;0;8;
E3B18F05;1;0;0;0;0;0;8;
E3B19P06;1;0;0;0;0;0;8;
E3B20T06;1;0;0;0;0;0;8;
E3B21F06;1;0;0;0;0;0;8;
E3B22P10;1;0;0;0;0;0;8;
E3B23T10;1;0;0;0;0;0;8;
E3B24PNN;1;0;0;0;0;0;8;
E3B25TNN;1;0;0;0;0;0;8;
E3B26PNN;1;0;0;0;0;0;8;
E3B30FNN;1;0;0;0;0;0;8;
E3B32F10;1;0;0;0;0;0;8;
E3B33P11;1;0;0;0;0;0;8;
E3B34T11;1;0;0;0;0;0;8;
E3B35FNN;1;0;0;0;0;0;8;
E3B38VNN;1;0;0;0;0;0;8;
E3B41VNN;1;0;0;0;0;0;8;
E3B44VNN;1;0;0;0;0;0;8;
E3B47VNN;1;0;0;0;0;0;8;
E3B50P18;1;0;0;0;0;0;8;
E3B51T18;1;0;0;0;0;0;8;
E3B52F18;1;0;0;0;0;0;8;
E3B53P19;1;0;0;0;0;0;8;
E3B54T19;1;0;0;0;0;0;8;
E3B57VNN;1;0;0;0;0;0;8;
E3B64V1N;1;0;0;0;0;0;8;
E3B65V2N;1;0;0;0;0;0;8;
E3B66FSN;1;0;0;0;0;0;8;
E3B70P22;1;0;0;0;0;0;8;
E3B71T22;1;0;0;0;0;0;8;
E3B77F19;1;0;0;0;0;0;8;
E3B78FNN;1;0;0;0;0;0;8;
E3B79FNN;1;0;0;0;0;0;8;
E3B80F22;1;0;0;0;0;0;8;
E3B81P23;1;0;0;0;0;0;8;
E3B82T23;1;0;0;0;0;0;8;
E3B83F23;1;0;0;0;0;0;8;
E3B84P24;1;0;0;0;0;0;8;
E3B85TNN;1;0;0;0;0;0;8;
E3B86FNN;1;0;0;0;0;0;8;
E3B87TNN;1;0;0;0;0;0;8;
E3B88PNN;1;0;0;0;0;0;8;
E3B89TNN;1;0;0;0;0;0;8;
E3B90FNN;1;0;0;0;0;0;8;
E3B91PNN;1;0;0;0;0;0;8;
E3B92TNN;1;0;0;0;0;0;8;
E3B93TNN;1;0;0;0;0;0;8;
E3B94PNN;1;0;0;0;0;0;8;
E3B95FNN;1;0;0;0;0;0;8;
E3B104PN;1;0;0;0;0;0;8;
E3B105TN;1;0;0;0;0;0;8;
E3B106FN;1;0;0;0;0;0;8;
E3B107PN;1;0;0;0;0;0;8;
E3B108TN;1;0;0;0;0;0;8;
E3B110PN;1;0;0;0;0;0;8;
E3B111TN;1;0;0;0;0;0;8;
E3B109FN;1;0;0;0;0;0;8;
E3B120TN;1;0;0;0;0;0;8;
E3B121TN;1;0;0;0;0;0;8;
E3B122FN;1;0;0;0;0;0;8;
E3B123PN;1;0;0;0;0;0;8;
E3B124TN;1;0;0;0;0;0;8;
E3B125FN;1;0;0;0;0;0;8;
E3B97FD1;1;0;0;0;0;0;8;
E3B27TNN;1;0;0;0;0;0;8;
E3B31F11;1;0;0;0;0;0;8;
CDCEC3/10/add3098;1;0;0;0;0;0;8;
CDCEC3/10/add3099;1;0;0;0;0;0;8;
CDCEC3/10/add3100;1;0;0;0;0;0;8;
CDCEC3/10/add3101;1;0;0;0;0;0;8;
E3B102F3;1;0;0;0;0;0;8;
S/SYMEC2EC3/P2;1;0;0;0;0;0;8;
S/SYMEC2EC3/P3;1;0;0;0;0;0;8;
S/SYMEC2EC3/AKRZ;1;0;0;0;0;0;8;
S/SYMEC2EC3/AKRP;1;0;0;0;0;0;8;
S/SYMEC2EC3/AKPZ;1;0;0;0;0;0;8;
S/SYMEC2EC3/AKPP;1;0;0;0;0;0;8;
S/SYMEC2EC3/P2U;1;0;0;0;0;0;8;
S/SYMEC2EC3/P3U;1;0;0;0;0;0;8;
S/SYMEC2EC3/P2Z;1;0;0;0;0;0;8;
S/SYMEC2EC3/P3Z;1;0;0;0;0;0;8;
S/SYMEC2EC3/PKRZ;1;0;0;0;0;0;8;
S/SYMEC2EC3/PKRP;1;0;0;0;0;0;8;
S/SYMEC2EC3/P2KPZ;1;0;0;0;0;0;8;
S/SYMEC2EC3/P2KPP;1;0;0;0;0;0;8;
S/SYMEC2EC3/P3KPZ;1;0;0;0;0;0;8;
S/SYMEC2EC3/P3KPP;1;0;0;0;0;0;8;
S/SYMEC2EC3/F2U;1;0;0;0;0;0;8;
S/SYMEC2EC3/F3U;1;0;0;0;0;0;8;
S/SYMEC2EC3/F2;1;0;0;0;0;0;8;
S/SYMEC2EC3/F3;1;0;0;0;0;0;8;
S/SYMEC2EC3/FUS;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/Pu2;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/Pu3;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/A2u;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/Ao;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/Az;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/cycle;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/F2n;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/F3n;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/P2kpzn;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/P2kppn;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/P3kpzn;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/P3kppn;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/P2zn;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/P3zn;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/P3pn;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/P3Stat;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/Pu;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/R2p;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/R2z;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/R3p;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/R3z;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/R2o;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/R3o;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/R3u;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/Tdz;1;0;0;0;0;0;8;
S/SYMEC2EC3/CONF/Tdu;1;0;0;0;0;0;8;
