NazwaZrodlowa;NazwaDocelowa
01R0100;WS_STATUS
01R0101;WS_TZ
01R0102;WS_T1
01R0103;WS_T2
01R0104;WS_T3
01R0105;WS_T4
01R0106;WS_T5
01R0107;WS_P1
01R0108;WS_P2
01R0109;WS_P3
01R0110;WS_P4
01R0111;WS_T6
01R0112;WS_T7
01R0113;WS_T8
01R0114;WS_DP1
01R0115;WS_Y1
01R0116;WS_Y2
01R0117;WS_T9
01R0118;WS_T10
01R0119;WS_T11
01R0120;WS_DP2
01R0121;WS_Y3
01R0122;WS_Y4
01R0123;WS_T12
01R0124;WS_T13
01R0125;WS_T14
01R0126;WS_DP3
01R0127;WS_Y5
01R0128;WS_Y6
01R0129;WS_Q
01R0130;WS_DP
01R0131;WS_F1
01R0132;WS_Q1
01R0300;WS_MDI1
01R0301;WS_MDI2
01R0302;WS_MDI3
01R0303;WS_ROK
01R0304;WS_MIESIAC
01R0305;WS_DZIEN
01R0306;WS_GODZINA
01R0307;WS_MINUTA
01R0308;WS_SEKUNDA
01R0801;WS_H_TZ
01R0802;WS_H_T1
01R0803;WS_H_T2
01R0804;WS_H_T3
01R0805;WS_H_T4
01R0806;WS_H_T5
01R0807;WS_H_P1
01R0808;WS_H_P2
01R0809;WS_H_P3
01R0810;WS_H_P4
01R0811;WS_H_T6
01R0812;WS_H_T7
01R0813;WS_H_T8
01R0814;WS_H_DP1
01R0815;WS_H_Y1
01R0816;WS_H_Y2
01R0817;WS_H_T9
01R0818;WS_H_T10
01R0819;WS_H_T11
01R0820;WS_H_DP2
01R0821;WS_H_Y3
01R0822;WS_H_Y4
01R0823;WS_H_T12
01R0824;WS_H_T13
01R0825;WS_H_T14
01R0826;WS_H_DP3
01R0827;WS_H_Y5
01R0828;WS_H_Y6
01R0829;WS_H_Q
01R0830;WS_H_DP
01R0831;WS_H_F1
01R0832;WS_H_Q1
01R0850;WS_H_STATUS1
01R0851;WS_H_STATUS2
02F0300;K101_REG_START
02F0301;K101_REG_STOP
02F0302;K101_REG_ROZDZIEL
02F0309;K101_REG_POTWF2
02F0310;K101_REG_POTWF3
02F0311;K101_REG_POTWF4
02F0312;K101_REG_POTWF5
02F0313;K101_REG_POTWF6
02F0495;K101_CONTROL_GET
02F0496;K101_CONTROL_GET2
02F0499;K101_SYNC
02F0500;K101_MODE
02F0501;K101_PROTECT
02F0502;K101_SYRENA
02F0503;K101_SYRENA_OFF
02F0504;K101_WG_ZAL
02F0505;K101_WG_WYL
02F0506;K101_WK_ZAL
02F0507;K101_WK_WYL
02F0508;K101_AWARIA
02F0509;K101_AWARIA_STOP
02F0510;K101_X1_OTW
02F0511;K101_X1_ZAM
02F0512;K101_X1_STOP
02F0513;K101_X2_OTW
02F0514;K101_X2_ZAM
02F0515;K101_X2_STOP
02F0516;K101_X11_OTW
02F0517;K101_X11_ZAM
02F0518;K101_X11_STOP
02F0519;K101_X21_OTW
02F0520;K101_X21_ZAM
02F0521;K101_X21_STOP
02F0522;K101_SEKW_ODC
02F0523;K101_SEKW_URUCH
02F0524;K101_SEKW_STOP
02F0526;K101_CONTROL
02F0527;K101_CONTROL2
02F0564;K101_FIFO_READ
02R0100;K101_PR11
02R0101;K101_PR111
02R0102;K101_PR21
02R0103;K101_PR221
02R0104;K101_STATUS
02R0105;K101_ALARMY
02R0106;K101_ALARMY2
02R0107;K101_M05
02R0108;K101_M06
02R0109;K101_GODZINA
02R0110;K101_MINUTA
02R0111;K101_SEKUNDA
02R0150;K101_TR12
02R0151;K101_TR112
02R0152;K101_TR22
02R0153;K101_TR222
02R0154;K101_TR903
02R0155;K101_MR902
02R0156;K101_ROK
02R0157;K101_MIESIAC
02R0158;K101_DZIEN
02R0163;K101_STATUS_H
02R0164;K101_TR12_H
02R0165;K101_TR112_H
02R0166;K101_TR22_H
02R0167;K101_TR222_H
02R0168;K101_PR11_H
02R0169;K101_PR111_H
02R0170;K101_PR21_H
02R0171;K101_PR221_H
02R0199;StanZasuw/K101
02R0200;K101_MAX_P
02R0201;K101_SEKW_T0
02R0202;K101_SEKW_T1
02R0203;K101_SEKW_T2
02R0204;K101_SEKW_T3
02R0205;K101_AWARIA_X2_SP
02R0206;K101_X1_STV
02R0207;K101_X2_STV
02R0208;K101_X11_STV
02R0209;K101_X21_STV
02R0210;K101_X1
02R0211;K101_X2
02R0212;K101_X11
02R0213;K101_X21
02R0214;K101_X1_SP
02R0215;K101_X2_SP
02R0216;K101_X11_SP
02R0217;K101_X21_SP
02R0218;K101_SEKW_FAZA_ODC
02R0219;K101_SEKW_FAZA_URUCH
02R0250;K101_FIFO_ROK
02R0251;K101_FIFO_MIESIAC
02R0252;K101_FIFO_DZIEN
02R0253;K101_FIFO_GODZINA
02R0254;K101_FIFO_MINUTA
02R0255;K101_FIFO_SEKUNDA
02R0256;K101_FIFO_ALARMY
02R0257;K101_FIFO_ALARMY2
02R0258;K101_FIFO_M05
02R0259;K101_FIFO_M06
St_K101_REG/10/add295;K101_REG_EC2_FZ
St_K101_REG/10/add296;EC3_FZ_RAMPA
St_K101_REG/10/add297;K101_REG_EC3_FZ
St_K101_REG/10/add298;K101_REG_ALARMY
St_K101_REG/10/add299;K101_REG_FAZA
St_K101_REG/10/add300;K_PODZIAL
St_K101_REG/10/add301;EC3_FZ_Z
St_K101_REG/10/add302;K101_REG_PR21
St_K101_REG/10/add303;EC2_FZ_Z
St_K101_REG/10/add304;K101_K175_EC2PP
St_K101_REG/10/add305;K101_K175_EC2PZ
St_K101_REG/10/add306;K101_K175_EC3PP
St_K101_REG/10/add307;K101_K175_EC3PZ
St_K101_REG/10/add308;K101_K175_MDI5
St_K101_REG/10/add309;K101_K175_AISTATUS
St_K101_REG/10/add310;K101_K164_PR21
St_K101_REG/10/add311;K101_K164_PR11
St_K101_REG/10/add312;K101_K164_PR221
St_K101_REG/10/add313;K101_K164_PR111
St_K101_REG/10/add314;K101_K164_M05
St_K101_REG/10/add315;K101_K164_STATUS
St_K101_REG/10/add316;K101_K110_EC2PP
St_K101_REG/10/add317;K101_K110_EC2PZ
St_K101_REG/10/add318;K101_K110_EC3PP
St_K101_REG/10/add319;K101_K110_EC3PZ
St_K101_REG/10/add320;K101_K110_MDI5
St_K101_REG/10/add321;K101_K110_AISTATUS
St_K101_REG/10/add322;K101_EC2_FZ_S
St_K101_REG/10/add323;K101_EC2_FZ_N
St_K101_REG/10/add324;K101_EC3_FZ
St_K101_REG/10/add326;K101_EC3_FZRAD
St_K101_REG/10/add327;K101_EC3_FZPOJ
03F0495;K209_CONTROL_GET
03F0496;K209_CONTROL_GET2
03F0499;K209_SYNC
03F0500;K209_MODE
03F0501;K209_PROTECT
03F0502;K209_SYRENA
03F0503;K209_SYRENA_OFF
