BaseTagName;Bitnumber;Name
StanZasuw/K101;0;/X1
StanZasuw/K101;1;/X2
StanZasuw/K101;2;/X11
StanZasuw/K101;3;/X21
StanZasuw/K209;0;/X1
StanZasuw/K209;1;/X2
StanZasuw/K209;2;/X11
StanZasuw/K209;3;/X21
StanZasuw/K1266;0;/X1
StanZasuw/K1266;1;/X2
StanZasuw/K1266;2;/X11
StanZasuw/K1266;3;/X21
StanZasuw/K231;0;/X1
StanZasuw/K231;1;/X2
StanZasuw/K231;2;/X11
StanZasuw/K231;3;/X21
StanZasuw/K736;0;/X1
StanZasuw/K736;1;/X2
StanZasuw/K736;2;/X11
StanZasuw/K736;3;/X21
StanZasuw/K751;0;/X1
StanZasuw/K751;1;/X2
StanZasuw/K751;2;/X11
StanZasuw/K751;3;/X21
StanZasuw/K762;0;/X1
StanZasuw/K762;1;/X2
StanZasuw/K762;2;/X11
StanZasuw/K762;3;/X21
StanZasuw/K510;0;/X1
StanZasuw/K510;1;/X2
StanZasuw/K510;2;/X11
StanZasuw/K510;3;/X21
StanZasuw/K510;4;/X3
StanZasuw/K510;5;/X4
StanZasuw/K510;6;/X31
StanZasuw/K510;7;/X41
StanZasuw/K617;0;/X1
StanZasuw/K617;1;/X2
StanZasuw/K617;2;/X11
StanZasuw/K617;3;/X21
StanZasuw/K637;0;/X1
StanZasuw/K637;1;/X2
StanZasuw/K637;2;/X11
StanZasuw/K637;3;/X21
StanZasuw/K110;0;/X1
StanZasuw/K110;1;/X2
StanZasuw/K110;2;/X11
StanZasuw/K110;3;/X21
StanZasuw/K104A;0;/X1
StanZasuw/K104A;1;/X2
StanZasuw/K104A;2;/X11
StanZasuw/K104A;3;/X21
StanZasuw/K10430;0;/X1
StanZasuw/K10430;1;/X2
StanZasuw/K10430;2;/X11
StanZasuw/K10430;3;/X21
StanZasuw/K164;0;/X1
StanZasuw/K164;1;/X2
StanZasuw/K164;2;/X11
StanZasuw/K164;3;/X21
StanZasuw/K175;0;/X1
StanZasuw/K175;1;/X2
StanZasuw/K175;2;/X11
StanZasuw/K175;3;/X21
StanZasuw/K199;0;/X1
StanZasuw/K199;1;/X2
StanZasuw/K199;2;/X11
StanZasuw/K199;3;/X21
StanZasuw/K199;4;/X3
StanZasuw/K199;5;/X4
StanZasuw/K199;6;/X31
StanZasuw/K199;7;/X41
StanZasuw/K199;8;/X5
StanZasuw/K199;9;/X6
StanZasuw/K199;10;/X51
StanZasuw/K199;11;/X61
StanZasuw/K1014;0;/X1
StanZasuw/K1014;1;/X2
StanZasuw/K1014;2;/X11
StanZasuw/K1014;3;/X21
StanZasuw/K22;0;/X1
StanZasuw/K22;1;/X2
StanZasuw/K22;2;/X11
StanZasuw/K22;3;/X21
StanZasuw/K1023;0;/X1
StanZasuw/K1023;1;/X2
StanZasuw/K1023;2;/X11
StanZasuw/K1023;3;/X21
WS_MDI1;0;SMULSKO/PM1
WS_MDI1;1;SMULSKO/PM2
WS_MDI1;2;SMULSKO/PM3
WS_MDI2;5;SMULSKO/PM4
